,0,
1717 ZI Pax6 Gaba_1,#79953b,
3438 SNr-VTA Pax5 Npas1 Gaba_1,#b1a7d4,
2959 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_4,#7ecfdd,
1595 RT-ZI Gnb3 Gaba_4,#00caaf,
1784 ZI Pax6 Gaba_11,#79463b,
2975 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_6,#daffe6,
1745 ZI Pax6 Gaba_4,#db05b1,
2914 PRC-PAG Tcf7l2 Irx2 Glut_2,#f2ddff,
1746 ZI Pax6 Gaba_4,#a3e46e,
1768 ZI Pax6 Gaba_8,#891323,
1831 PVHd-DMH Lhx6 Gaba_3,#666782,
2602 LH Pou4f1 Sox1 Glut_2,#e8fd70,
2960 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_4,#d8aae8,
2756 MB-ant-ve Dmrta2 Glut_1,#dfbad4,
1759 ZI Pax6 Gaba_7,#fd5269,
2931 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_1,#75ae9a,
2703 RE-Xi Nox4 Glut_4,#9733df,
3641 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_2,#e4727e,
1720 ZI Pax6 Gaba_1,#8c5926,
3664 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_6,#774669,
1736 ZI Pax6 Gaba_3,#2f3da8,
2934 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_1,#2f3da8,
3639 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_1,#774669,
1734 ZI Pax6 Gaba_3,#8c5926,
3635 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_1,#e4727e,
1730 ZI Pax6 Gaba_3,#9733df,
1772 ZI Pax6 Gaba_8,#75ae9a,
3636 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_1,#fd5269,
2945 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_2,#dfbad4,
2714 PF Fzd5 Glut_1,#d8aae8,
1820 PVHd-DMH Lhx6 Gaba_1,#e8fd70,
1781 ZI Pax6 Gaba_10,#666782,
2736 PRC-PAG Pax6 Glut_2,#891323,
1752 ZI Pax6 Gaba_6,#a3e46e,
2936 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_1,#f2ddff,
2946 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_3,#db05b1,
2603 LH Pou4f1 Sox1 Glut_2,#daffe6,
2905 PRC-PAG Tcf7l2 Irx2 Glut_1,#79463b,
2607 LH Pou4f1 Sox1 Glut_3,#00caaf,
2993 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_8,#7ecfdd,
2950 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_3,#b1a7d4,
3648 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_3,#79953b,
1833 PVHd-DMH Lhx6 Gaba_3,#f7a1fd,
1678 AHN-SBPV-PVHd Pdrm12 Gaba_7,#00d856,
1770 ZI Pax6 Gaba_8,#1626ff,
1626 PVHd-SBPV Six3 Prox1 Gaba_1,#1859ff,
3638 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_1,#706b01,
1786 ZI Pax6 Gaba_11,#e6d67c,
1979 LGv-ZI Otx2 Gaba_3,#f98e8a,
2994 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_8,#59578a,
3654 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_4,#89647b,
2989 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_8,#6d0097,
1599 RT-ZI Gnb3 Gaba_4,#a350a8,
2610 LH Pou4f1 Sox1 Glut_4,#a13b72,
2972 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_5,#1ae6fd,
1725 ZI Pax6 Gaba_2,#bc93d1,
1682 AHN-SBPV-PVHd Pdrm12 Gaba_7,#6b8752,
1832 PVHd-DMH Lhx6 Gaba_3,#b88c79,
3621 PRT Tcf7l2 Gaba_3,#33574b,
1767 ZI Pax6 Gaba_8,#ffe8af,
3658 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_5,#ff2fa1,
